frame,output,timestamp
,"{""label"": null, ""confidences"": null}",2025-11-07 02:38:42.481681
,"{""label"": ""fear"", ""confidences"": [{""label"": ""fear"", ""confidence"": 0.57}]}",2025-11-07 02:41:50.293968
